series,ticker,zone,side,ask,secs_left,won,profit,prior_filter
KXBTC15M,KXBTC15M-26AUG030230-30,91c,no,91,300,True,3.22,True
KXBTC15M,KXBTC15M-26AUG030030-30,92c,yes,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG030030-30,95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG030000-00,90c,no,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG022245-45,93c,yes,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG022245-45,94c,yes,94,300,True,2.08,True
KXBTC15M,KXBTC15M-26AUG022200-00,95c,no,95,180,True,1.71,True
KXBTC15M,KXBTC15M-26AUG022115-15,90c,no,90,180,True,3.62,True
KXBTC15M,KXBTC15M-26AUG021930-30,95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG021915-15,94c,no,94,240,True,2.08,True
KXBTC15M,KXBTC15M-26AUG021815-15,92c,yes,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26AUG021815-15,93c,yes,93,480,True,2.45,True
KXBTC15M,KXBTC15M-26AUG021815-15,90c,yes,90,360,True,3.62,True
KXBTC15M,KXBTC15M-26AUG021700-00,91c,yes,91,600,True,3.22,True
KXBTC15M,KXBTC15M-26AUG021700-00,92c,yes,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG021600-00,94c,yes,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG021500-00,95c,no,95,540,True,1.71,True
KXBTC15M,KXBTC15M-26AUG021500-00,93c,no,93,480,True,2.45,True
KXBTC15M,KXBTC15M-26AUG021030-30,90c,yes,90,480,True,3.62,True
KXBTC15M,KXBTC15M-26AUG021015-15,94c,no,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26AUG021015-15,90c,no,90,240,True,3.62,True
KXBTC15M,KXBTC15M-26AUG020930-30,91c,no,91,420,True,3.22,True
KXBTC15M,KXBTC15M-26AUG020930-30,92c,no,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG020845-45,95c,no,95,240,True,1.71,True
KXBTC15M,KXBTC15M-26AUG020830-30,95c,yes,95,300,True,1.71,True
KXBTC15M,KXBTC15M-26AUG020830-30,91c,yes,91,180,True,3.22,True
KXBTC15M,KXBTC15M-26AUG020815-15,90c,yes,90,600,True,3.62,True
KXBTC15M,KXBTC15M-26AUG020815-15,94c,yes,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26AUG020545-45,93c,yes,93,600,True,2.45,True
KXBTC15M,KXBTC15M-26AUG020545-45,92c,yes,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26AUG020545-45,94c,yes,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG020545-45,95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG020545-45,91c,yes,91,240,True,3.22,True
KXBTC15M,KXBTC15M-26AUG020515-15,90c,no,90,540,False,-35,True
KXBTC15M,KXBTC15M-26AUG020445-45,95c,no,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG020400-00,91c,no,91,600,True,3.22,True
KXBTC15M,KXBTC15M-26AUG020400-00,90c,no,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG020400-00,92c,no,92,480,True,2.83,True
KXBTC15M,KXBTC15M-26AUG020245-45,93c,no,93,240,True,2.45,True
KXBTC15M,KXBTC15M-26AUG020115-15,95c,no,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG020100-00,94c,yes,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26AUG020015-15,93c,yes,93,600,True,2.45,True
KXBTC15M,KXBTC15M-26AUG020015-15,92c,yes,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26AUG020015-15,94c,yes,94,480,True,2.08,True
KXBTC15M,KXBTC15M-26AUG012345-45,91c,yes,91,300,True,3.22,True
KXBTC15M,KXBTC15M-26AUG012300-00,95c,yes,95,240,True,1.71,True
KXBTC15M,KXBTC15M-26AUG012200-00,95c,no,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG012145-45,91c,yes,91,360,True,3.22,True
KXBTC15M,KXBTC15M-26AUG012115-15,94c,yes,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26AUG012045-45,94c,no,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26AUG012045-45,90c,no,90,240,True,3.62,True
KXBTC15M,KXBTC15M-26AUG012030-30,94c,no,94,300,True,2.08,True
KXBTC15M,KXBTC15M-26AUG012015-15,95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG012000-00,94c,yes,94,300,True,2.08,True
KXBTC15M,KXBTC15M-26AUG011930-30,92c,no,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26AUG011930-30,94c,no,94,300,True,2.08,True
KXBTC15M,KXBTC15M-26AUG011830-30,95c,no,95,180,True,1.71,True
KXBTC15M,KXBTC15M-26AUG011730-30,92c,yes,92,180,True,2.83,True
KXBTC15M,KXBTC15M-26AUG011715-15,93c,yes,93,600,True,2.45,True
KXBTC15M,KXBTC15M-26AUG011715-15,94c,yes,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26AUG011700-00,92c,yes,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG011630-30,92c,yes,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG011600-00,90c,yes,90,360,True,3.62,True
KXBTC15M,KXBTC15M-26AUG011600-00,94c,yes,94,300,True,2.08,True
KXBTC15M,KXBTC15M-26AUG011530-30,91c,no,91,300,True,3.22,True
KXBTC15M,KXBTC15M-26AUG011445-45,93c,no,93,420,True,2.45,True
KXBTC15M,KXBTC15M-26AUG011445-45,95c,no,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26AUG011030-30,95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG011030-30,93c,yes,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26AUG011015-15,92c,yes,92,300,True,2.83,True
KXBTC15M,KXBTC15M-26AUG011015-15,95c,yes,95,180,True,1.71,True
KXBTC15M,KXBTC15M-26AUG010845-45,90c,no,90,360,True,3.62,True
KXBTC15M,KXBTC15M-26AUG010830-30,94c,no,94,180,True,2.08,True
KXBTC15M,KXBTC15M-26AUG010815-15,92c,yes,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26AUG010815-15,94c,yes,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26AUG010615-15,95c,no,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26AUG010515-15,90c,no,90,240,True,3.62,True
KXBTC15M,KXBTC15M-26AUG010415-15,94c,yes,94,600,True,2.08,True
KXBTC15M,KXBTC15M-26AUG010415-15,93c,yes,93,540,True,2.45,True
KXBTC15M,KXBTC15M-26AUG010415-15,95c,yes,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26AUG010345-45,95c,no,95,300,True,1.71,True
KXBTC15M,KXBTC15M-26AUG010330-30,90c,no,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26AUG010330-30,92c,no,92,360,True,2.83,True
KXBTC15M,KXBTC15M-26AUG010330-30,95c,no,95,300,True,1.71,True
KXBTC15M,KXBTC15M-26AUG010230-30,95c,yes,95,300,True,1.71,True
KXBTC15M,KXBTC15M-26AUG010215-15,93c,no,93,240,True,2.45,True
KXBTC15M,KXBTC15M-26AUG010130-30,90c,no,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26AUG010130-30,91c,no,91,480,True,3.22,True
KXBTC15M,KXBTC15M-26AUG010130-30,93c,no,93,420,True,2.45,True
KXBTC15M,KXBTC15M-26AUG010100-00,95c,yes,95,240,True,1.71,True
KXBTC15M,KXBTC15M-26AUG010030-30,93c,yes,93,300,True,2.45,True
KXBTC15M,KXBTC15M-26JUL312230-30,93c,yes,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26JUL312230-30,90c,yes,90,300,True,3.62,True
KXBTC15M,KXBTC15M-26JUL312215-15,90c,yes,90,240,True,3.62,True
KXBTC15M,KXBTC15M-26JUL312015-15,90c,yes,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26JUL312015-15,93c,yes,93,420,True,2.45,True
KXBTC15M,KXBTC15M-26JUL312000-00,92c,no,92,600,True,2.83,True
KXBTC15M,KXBTC15M-26JUL312000-00,95c,no,95,540,True,1.71,True
KXBTC15M,KXBTC15M-26JUL312000-00,90c,no,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26JUL312000-00,93c,no,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26JUL311915-15,92c,yes,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26JUL311915-15,95c,yes,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26JUL311915-15,94c,yes,94,300,True,2.08,True
KXBTC15M,KXBTC15M-26JUL311845-45,91c,no,91,300,True,3.22,True
KXBTC15M,KXBTC15M-26JUL311515-15,93c,no,93,240,True,2.45,True
KXBTC15M,KXBTC15M-26JUL311500-00,95c,yes,95,480,True,1.71,True
KXBTC15M,KXBTC15M-26JUL311400-00,90c,yes,90,540,True,3.62,True
KXBTC15M,KXBTC15M-26JUL311045-45,92c,yes,92,420,True,2.83,True
KXBTC15M,KXBTC15M-26JUL311045-45,95c,yes,95,180,True,1.71,True
KXBTC15M,KXBTC15M-26JUL310930-30,92c,yes,92,300,True,2.83,True
KXBTC15M,KXBTC15M-26JUL310845-45,92c,no,92,600,True,2.83,True
KXBTC15M,KXBTC15M-26JUL310815-15,94c,no,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26JUL310745-45,93c,no,93,240,True,2.45,True
KXBTC15M,KXBTC15M-26JUL310700-00,92c,yes,92,180,True,2.83,True
KXBTC15M,KXBTC15M-26JUL310645-45,94c,yes,94,360,True,2.08,True
KXBTC15M,KXBTC15M-26JUL310630-30,91c,yes,91,300,True,3.22,True
KXBTC15M,KXBTC15M-26JUL310615-15,93c,no,93,480,False,-35,True
KXBTC15M,KXBTC15M-26JUL310430-30,92c,no,92,480,False,-35,True
KXBTC15M,KXBTC15M-26JUL310430-30,90c,no,90,420,False,-35,True
KXBTC15M,KXBTC15M-26JUL310415-15,91c,no,91,240,False,-35,True
KXBTC15M,KXBTC15M-26JUL310415-15,92c,no,92,180,False,-35,True
KXBTC15M,KXBTC15M-26JUL310400-00,95c,yes,95,300,True,1.71,True
KXBTC15M,KXBTC15M-26JUL310330-30,93c,no,93,240,True,2.45,True
KXBTC15M,KXBTC15M-26JUL310115-15,92c,yes,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26JUL310115-15,90c,yes,90,420,True,3.62,True
KXBTC15M,KXBTC15M-26JUL310115-15,91c,yes,91,360,True,3.22,True
KXBTC15M,KXBTC15M-26JUL310030-30,91c,no,91,180,True,3.22,True
KXBTC15M,KXBTC15M-26JUL302345-45,91c,no,91,240,False,-35,True
KXBTC15M,KXBTC15M-26JUL302345-45,95c,no,95,180,False,-35,True
KXBTC15M,KXBTC15M-26JUL302330-30,92c,yes,92,540,True,2.83,True
KXBTC15M,KXBTC15M-26JUL302315-15,95c,no,95,240,True,1.71,True
KXBTC15M,KXBTC15M-26JUL302230-30,93c,no,93,360,True,2.45,True
KXBTC15M,KXBTC15M-26JUL302200-00,94c,no,94,540,True,2.08,True
KXBTC15M,KXBTC15M-26JUL302200-00,95c,no,95,420,True,1.71,True
KXBTC15M,KXBTC15M-26JUL302145-45,95c,no,95,540,True,1.71,True
KXBTC15M,KXBTC15M-26JUL302130-30,95c,no,95,360,True,1.71,True
KXBTC15M,KXBTC15M-26JUL302100-00,95c,no,95,240,True,1.71,True
